GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,6,109,2,11,2,24,3,8,1,3
parking-system,com.parkit.parkingsystem.service,ParkingService,18,239,3,8,6,65,3,10,0,7
parking-system,com.parkit.parkingsystem.service,InteractiveShell,72,0,6,0,28,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,16,0,0,0,6,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,29,33,8,0,5,14,6,7,2,7
parking-system,com.parkit.parkingsystem.model,Ticket,1,79,1,1,0,25,1,13,0,13
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,24,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,45,9,4,0,15,2,5,1,3,1
parking-system,com.parkit.parkingsystem.dao,TicketDAO,17,249,1,7,4,60,1,9,0,6
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,1,106,2,2,0,29,2,4,0,4
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,53,13,6,0,24,4,7,2,4,2
